TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC UL Throughput[Mbps],LTE KPI UL CA Type,5G KPI Total Info Layer2 MAC UL Throughput [Mbps],5G KPI Total Info UL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-08-14 15:40:46.000000,-81.674019,41.500450,5G-NR_NSA,,,,,,,,
2022-08-14 15:40:46.700000,-81.674019,41.500450,,,,0.000,,,,,
2022-08-14 15:40:46.800000,-81.674019,41.500450,,,,0.000,,37659.34,4,4,
2022-08-14 15:40:46.900000,-81.674019,41.500450,,,,,,37659.34,4,4,
2022-08-14 15:40:47.000000,-81.674019,41.500450,5G-NR_NSA,,,0.000,,,,,0.000
2022-08-14 15:40:47.100000,-81.674019,41.500450,,,,0.000,,37659.34,4,4,
2022-08-14 15:40:47.200000,-81.674019,41.500450,,,,0.000,,37659.34,4,4,
2022-08-14 15:40:47.300000,-81.674019,41.500450,,,,0.000,,,,,
2022-08-14 15:40:47.400000,-81.674019,41.500450,,,,,,37659.34,4,4,
2022-08-14 15:40:47.500000,-81.674019,41.500450,,,,0.010,UL NonCA,,,,0.000
2022-08-14 15:40:47.600000,-81.674019,41.500450,,,,0.000,,37659.34,4,4,
2022-08-14 15:40:47.700000,-81.674019,41.500450,,,,,,37659.34,4,4,
2022-08-14 15:40:47.800000,-81.674019,41.500450,,,,0.000,,,,,
2022-08-14 15:40:47.900000,-81.674019,41.500450,,,,0.000,,37659.34,4,4,
2022-08-14 15:40:48.000000,-81.674019,41.500450,5G-NR_NSA,,,,,37659.34,4,4,0.000
2022-08-14 15:40:48.100000,-81.674019,41.500450,,,,0.000,,,,,
2022-08-14 15:40:48.200000,-81.674019,41.500450,,,,,,37659.34,4,4,
2022-08-14 15:40:48.300000,-81.674019,41.500450,,,,0.000,,,,,
2022-08-14 15:40:48.400000,-81.674019,41.500450,,,,0.034,UL NonCA,37659.34,4,4,
2022-08-14 15:40:48.500000,-81.674019,41.500450,,,,0.011,UL NonCA,,,,0.001
2022-08-14 15:40:48.600000,-81.674019,41.500450,,,,0.000,,37659.34,4,4,
2022-08-14 15:40:48.700000,-81.674019,41.500450,,,,0.228,UL NonCA,37659.34,4,4,
2022-08-14 15:40:48.800000,-81.674019,41.500450,,,,0.000,,,,,
2022-08-14 15:40:48.900000,-81.674019,41.500450,,,,0.018,UL NonCA,37659.34,4,4,
2022-08-14 15:40:49.000000,-81.674019,41.500450,5G-NR_NSA(2CA),19.792,,0.070,UL NonCA,37659.34,4,4,0.011
2022-08-14 15:40:49.100000,-81.674019,41.500450,,,,0.021,UL NonCA,,,,
2022-08-14 15:40:49.200000,-81.674019,41.500450,,,,2.601,UL 2CA,37659.34,4,4,
2022-08-14 15:40:49.300000,-81.674019,41.500450,,,,3.186,UL 2CA,,,,
2022-08-14 15:40:49.400000,-81.674019,41.500450,,,,15.407,UL 2CA,37659.34,4,4,
2022-08-14 15:40:49.500000,-81.674019,41.500450,,,NonCA,30.363,UL 2CA,37659.34,4,4,10.217
2022-08-14 15:40:49.600000,-81.674019,41.500450,,,NonCA,47.387,UL 2CA,,,,
2022-08-14 15:40:49.700000,-81.674019,41.500450,,,NonCA,39.108,UL 2CA,37659.34,4,4,
