TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC DL Throughput[Mbps],LTE KPI CA Type,5G KPI Total Info Layer2 MAC DL Throughput [Mbps],5G KPI Total Info DL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network DL Throughput [Mbps]
2022-08-11 15:38:55.000000,-105.009438,39.744331,LTE,,NonCA,,,,,,
2022-08-11 15:38:55.200000,-105.009438,39.744331,,,,,,,,,0.000
2022-08-11 15:38:55.500000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:55.600000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:55.700000,-105.009438,39.744331,,,,,,,,,0.000
2022-08-11 15:38:56.000000,-105.009438,39.744331,LTE(3CA),0.003,,,,,,,
2022-08-11 15:38:56.200000,-105.009438,39.744331,,,,,,,,,0.000
2022-08-11 15:38:56.600000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:56.700000,-105.009438,39.744331,,,,,,,,,0.000
2022-08-11 15:38:56.800000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:56.900000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:57.000000,-105.009438,39.744331,LTE(3CA),0.001,3CA,,,,,,
2022-08-11 15:38:57.100000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:57.200000,-105.009438,39.744331,,,3CA,,,,,,0.000
2022-08-11 15:38:57.300000,-105.009438,39.744331,,,2CA,,,,,,
2022-08-11 15:38:57.400000,-105.009438,39.744331,,,2CA,,,,,,
2022-08-11 15:38:57.500000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:57.600000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:57.700000,-105.009438,39.744331,,,NonCA,,,,,,0.000
2022-08-11 15:38:57.800000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:57.900000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:58.000000,-105.009438,39.744331,LTE(3CA),11.120,NonCA,,,,,,
2022-08-11 15:38:58.100000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:38:58.200000,-105.009438,39.744331,,,NonCA,,,,,,0.236
2022-08-11 15:38:58.300000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:58.400000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:58.500000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:58.600000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:58.700000,-105.009438,39.744331,,,3CA,,,,,,14.097
2022-08-11 15:38:58.800000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:58.900000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:59.000000,-105.009438,39.744331,LTE(3CA),19.631,3CA,,,,,,
2022-08-11 15:38:59.100000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:59.200000,-105.009438,39.744331,,,3CA,,,,,,15.537
2022-08-11 15:38:59.300000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:59.400000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:59.500000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:59.600000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:59.700000,-105.009438,39.744331,,,3CA,,,,,,23.122
2022-08-11 15:38:59.800000,-105.009438,39.744331,,,3CA,,,,,,
2022-08-11 15:38:59.900000,-105.009438,39.744331,,,NonCA,,,,,,
2022-08-11 15:39:00.000000,-105.009438,39.744331,5G-NR_NSA(4CA),3.290,NonCA,,,28249.76,4,4,
2022-08-11 15:39:00.100000,-105.009438,39.744331,,,2CA,368.465,DL 8CA,,,,
2022-08-11 15:39:00.200000,-105.009438,39.744331,,,2CA,295.668,DL 8CA,,,,65.095
2022-08-11 15:39:00.300000,-105.009438,39.744331,,,2CA,318.377,DL 8CA,,,,
2022-08-11 15:39:00.400000,-105.009438,39.744331,,,2CA,421.777,DL 8CA,28249.76,4,4,
2022-08-11 15:39:00.500000,-105.009438,39.744331,,,NonCA,680.726,DL 8CA,,,,
2022-08-11 15:39:00.600000,-105.009438,39.744331,,,NonCA,968.417,DL 8CA,,,,
2022-08-11 15:39:00.700000,-105.009438,39.744331,,,,1049.233,DL 8CA,,,,651.817
2022-08-11 15:39:00.800000,-105.009438,39.744331,,,NonCA,1365.119,DL 8CA,,,,
2022-08-11 15:39:00.900000,-105.009438,39.744331,,,,1423.803,DL 8CA,28249.76,4,4,
2022-08-11 15:39:01.000000,-105.009438,39.744331,5G-NR_NSA(8CA),,,1048.307,DL 8CA,28249.76,4,4,
2022-08-11 15:39:01.100000,-105.009438,39.744331,,,,1103.053,DL 8CA,,,,
2022-08-11 15:39:01.200000,-105.009438,39.744331,,,NonCA,1095.674,DL 8CA,28249.76,4,4,1156.778
2022-08-11 15:39:01.300000,-105.009438,39.744331,,,,1168.593,DL 8CA,28249.76,4,4,
2022-08-11 15:39:01.400000,-105.009438,39.744331,,,,1194.132,DL 8CA,,,,
2022-08-11 15:39:01.500000,-105.009438,39.744331,,,NonCA,1185.811,DL 8CA,28249.76,4,4,
2022-08-11 15:39:01.600000,-105.009438,39.744331,,,,1190.957,DL 8CA,,,,
2022-08-11 15:39:01.700000,-105.009438,39.744331,,,,1141.412,DL 8CA,28249.76,4,4,1125.010
2022-08-11 15:39:01.800000,-105.009438,39.744331,,,NonCA,1069.565,DL 8CA,,,,
2022-08-11 15:39:01.900000,-105.009438,39.744331,,,,1073.284,DL 8CA,28249.76,4,4,
2022-08-11 15:39:02.000000,-105.009438,39.744331,5G-NR_NSA(8CA),,,946.370,DL 8CA,,,,
2022-08-11 15:39:02.100000,-105.009438,39.744331,,,,1101.467,DL 8CA,,,,
2022-08-11 15:39:02.200000,-105.009438,39.744331,,,,1087.347,DL 8CA,28249.76,4,4,1043.043
2022-08-11 15:39:02.300000,-105.009438,39.744331,,,,1150.980,DL 8CA,28249.76,4,4,
2022-08-11 15:39:02.400000,-105.009438,39.744331,,,,1182.427,DL 8CA,,,,
2022-08-11 15:39:02.500000,-105.009438,39.744331,,,,1175.141,DL 8CA,28249.76,4,4,
2022-08-11 15:39:02.600000,-105.009438,39.744331,,,,1343.866,DL 8CA,,,,
2022-08-11 15:39:02.700000,-105.009438,39.744331,,,,1110.621,DL 8CA,,,,1116.372
2022-08-11 15:39:02.800000,-105.009438,39.744331,,,NonCA,1080.998,DL 8CA,,,,
2022-08-11 15:39:02.900000,-105.009438,39.744331,,,NonCA,1150.072,DL 8CA,,,,
2022-08-11 15:39:03.000000,-105.009438,39.744331,5G-NR_NSA(8CA),0.025,NonCA,1218.809,DL 8CA,28249.76,4,4,
2022-08-11 15:39:03.100000,-105.009438,39.744331,,,NonCA,1109.902,DL 8CA,,,,
2022-08-11 15:39:03.200000,-105.009438,39.744331,,,NonCA,1258.361,DL 8CA,,,,1143.963
2022-08-11 15:39:03.300000,-105.009438,39.744331,,,,1245.442,DL 8CA,28249.76,4,4,
2022-08-11 15:39:03.400000,-105.009438,39.744331,,,,1273.945,DL 8CA,,,,
2022-08-11 15:39:03.500000,-105.009438,39.744331,,,,1217.825,DL 8CA,,,,
2022-08-11 15:39:03.600000,-105.009438,39.744331,,,,1293.147,DL 8CA,,,,
2022-08-11 15:39:03.700000,-105.009438,39.744331,,,NonCA,1264.358,DL 8CA,,,,1238.182
2022-08-11 15:39:03.800000,-105.009438,39.744331,,,,1268.328,DL 8CA,28249.76,4,4,
2022-08-11 15:39:03.900000,-105.009438,39.744331,,,,1206.546,DL 8CA,28249.76,4,4,
2022-08-11 15:39:04.000000,-105.009438,39.744331,5G-NR_NSA(8CA),,NonCA,1290.377,DL 8CA,,,,
2022-08-11 15:39:04.100000,-105.009438,39.744331,,,,1114.799,DL 8CA,,,,
2022-08-11 15:39:04.200000,-105.009438,39.744331,,,,1293.201,DL 8CA,,,,1195.502
2022-08-11 15:39:04.300000,-105.009438,39.744331,,,,1278.082,DL 8CA,28249.76,4,4,
2022-08-11 15:39:04.400000,-105.009438,39.744331,,,,1337.738,DL 8CA,28249.76,4,4,
2022-08-11 15:39:04.500000,-105.009438,39.744331,,,,1125.441,DL 8CA,,,,
2022-08-11 15:39:04.600000,-105.009438,39.744331,,,,1168.743,DL 8CA,28249.76,4,4,
2022-08-11 15:39:04.700000,-105.009438,39.744331,,,,1364.123,DL 8CA,28249.76,4,4,1230.345
2022-08-11 15:39:04.800000,-105.009438,39.744331,,,,1256.625,DL 8CA,,,,
2022-08-11 15:39:04.900000,-105.009438,39.744331,,,,1357.462,DL 8CA,28249.76,4,4,
2022-08-11 15:39:05.000000,-105.009438,39.744331,5G-NR_NSA(8CA),0.001,NonCA,1255.052,DL 8CA,,,,
2022-08-11 15:39:05.100000,-105.009438,39.744331,,,,1391.508,DL 8CA,28249.76,4,4,
2022-08-11 15:39:05.200000,-105.009438,39.744331,,,,1273.636,DL 8CA,,,,1281.164
2022-08-11 15:39:05.300000,-105.009438,39.744331,,,NonCA,1360.969,DL 8CA,,,,
2022-08-11 15:39:05.400000,-105.009438,39.744331,,,NonCA,1288.864,DL 8CA,28249.76,4,4,
2022-08-11 15:39:05.500000,-105.009438,39.744331,,,NonCA,1348.548,DL 8CA,,,,
2022-08-11 15:39:05.600000,-105.009438,39.744331,,,NonCA,1450.899,DL 8CA,,,,
2022-08-11 15:39:05.700000,-105.009438,39.744331,,,NonCA,1176.229,DL 8CA,,,,1286.835
2022-08-11 15:39:05.800000,-105.009438,39.744331,,,NonCA,1374.631,DL 8CA,,,,
2022-08-11 15:39:05.900000,-105.009438,39.744331,,,NonCA,1360.522,DL 8CA,,,,
2022-08-11 15:39:06.000000,-105.009438,39.744331,5G-NR_NSA(8CA),,NonCA,1011.094,DL 8CA,,,,
2022-08-11 15:39:06.100000,-105.009438,39.744331,,,,1169.383,DL 8CA,,,,
2022-08-11 15:39:06.200000,-105.009438,39.744331,,,,1456.556,DL 8CA,,,,1237.866
2022-08-11 15:39:06.300000,-105.009438,39.744331,,,,1274.833,DL 8CA,28249.76,4,4,
2022-08-11 15:39:06.400000,-105.009438,39.744331,,,,1235.826,DL 8CA,,,,
2022-08-11 15:39:06.500000,-105.009438,39.744331,,,,1411.988,DL 8CA,28249.76,4,4,
2022-08-11 15:39:06.600000,-105.009438,39.744331,,,NonCA,1208.405,DL 8CA,,,,
2022-08-11 15:39:06.700000,-105.009438,39.744331,,,,1242.007,DL 8CA,28249.76,4,4,1261.654
2022-08-11 15:39:06.800000,-105.009438,39.744331,,,,1378.319,DL 8CA,,,,
2022-08-11 15:39:06.900000,-105.009438,39.744331,,,NonCA,1208.960,DL 8CA,,,,
2022-08-11 15:39:07.000000,-105.009438,39.744331,5G-NR_NSA(8CA),0.000,,1347.519,DL 8CA,28249.76,4,4,
2022-08-11 15:39:07.100000,-105.009438,39.744331,,,,1252.751,DL 8CA,28249.76,4,4,
2022-08-11 15:39:07.200000,-105.009438,39.744331,,,NonCA,887.161,DL 8CA,,,,1215.056
2022-08-11 15:39:07.300000,-105.009438,39.744331,,,,1036.920,DL 8CA,28249.76,4,4,
2022-08-11 15:39:07.400000,-105.009438,39.744331,,,,1376.161,DL 8CA,,,,
2022-08-11 15:39:07.500000,-105.009438,39.744331,,,,1266.538,DL 8CA,,,,
2022-08-11 15:39:07.600000,-105.009438,39.744331,,,,1332.541,DL 8CA,28249.76,4,4,
2022-08-11 15:39:07.700000,-105.009438,39.744331,,,,1105.669,DL 8CA,,,,1208.977
2022-08-11 15:39:07.800000,-105.009438,39.744331,,,,1321.842,DL 8CA,28249.76,4,4,
