TIME_STAMP,Lon,Lat,Event Technology,LTE KPI MAC UL Throughput[Mbps],LTE KPI UL CA Type,5G KPI Total Info Layer2 MAC UL Throughput [Mbps],5G KPI Total Info UL CA Type,5G KPI PCell RF Frequency [MHz],5G KPI PCell RF Serving SSB Idx,5G KPI PCell RF Best Beam SSB Idx,Smart Phone Smart Throughput Mobile Network UL Throughput [Mbps]
2022-08-12 12:20:18.000000,-95.804070,41.260689,5G-NR_NSA,,,,,,,,
2022-08-12 12:20:18.500000,-95.804070,41.260689,,,,0.000,UL NonCA,3730.08,0,0,
2022-08-12 12:20:18.800000,-95.804070,41.260689,,,,,,,,,0.000
2022-08-12 12:20:18.900000,-95.804070,41.260689,,,,0.864,UL NonCA,3730.08,0,0,
2022-08-12 12:20:19.000000,-95.804070,41.260689,5G-NR_NSA,0.005,,,,,,,
2022-08-12 12:20:19.100000,-95.804070,41.260689,,,NonCA,0.864,UL NonCA,,,,
2022-08-12 12:20:19.200000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:19.300000,-95.804070,41.260689,,,,,,,,,0.000
2022-08-12 12:20:19.500000,-95.804070,41.260689,,,,0.864,UL NonCA,,,,
2022-08-12 12:20:19.700000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:19.800000,-95.804070,41.260689,,,,,,,,,0.000
2022-08-12 12:20:19.900000,-95.804070,41.260689,,,,0.864,UL NonCA,3730.08,0,0,
2022-08-12 12:20:20.000000,-95.804070,41.260689,5G-NR_NSA,0.003,,0.864,UL NonCA,,,,
2022-08-12 12:20:20.200000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:20.300000,-95.804070,41.260689,,,,0.072,UL NonCA,,,,0.000
2022-08-12 12:20:20.400000,-95.804070,41.260689,,,NonCA,0.006,UL NonCA,,,,
2022-08-12 12:20:20.500000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:20.800000,-95.804070,41.260689,,,,,,,,,0.000
2022-08-12 12:20:20.900000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:21.000000,-95.804070,41.260689,5G-NR_NSA,0.002,,0.864,UL NonCA,,,,
2022-08-12 12:20:21.100000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:21.200000,-95.804070,41.260689,,,,0.864,UL NonCA,,,,
2022-08-12 12:20:21.300000,-95.804070,41.260689,,,,,,,,,0.000
2022-08-12 12:20:21.500000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:21.600000,-95.804070,41.260689,,,,0.864,UL NonCA,,,,
2022-08-12 12:20:21.700000,-95.804070,41.260689,,,NonCA,,,3730.08,0,0,
2022-08-12 12:20:21.800000,-95.804070,41.260689,,,,0.864,UL NonCA,,,,0.000
2022-08-12 12:20:22.000000,-95.804070,41.260689,5G-NR_NSA,,,,,,,,
2022-08-12 12:20:22.100000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:22.200000,-95.804070,41.260689,,,,0.011,UL NonCA,,,,
2022-08-12 12:20:22.300000,-95.804070,41.260689,,,,,,,,,0.000
2022-08-12 12:20:22.400000,-95.804070,41.260689,,,,,,3730.08,0,0,
2022-08-12 12:20:22.800000,-95.804070,41.260689,,,,0.864,UL NonCA,3730.08,0,0,0.000
2022-08-12 12:20:23.000000,-95.804070,41.260689,5G-NR_NSA,3.350,,0.520,UL NonCA,3730.08,0,0,
2022-08-12 12:20:23.100000,-95.804070,41.260689,,,,0.565,UL NonCA,,,,
2022-08-12 12:20:23.200000,-95.804070,41.260689,,,,0.513,UL NonCA,3730.08,0,0,
2022-08-12 12:20:23.300000,-95.804070,41.260689,,,,1.704,UL NonCA,3730.08,0,0,0.241
2022-08-12 12:20:23.400000,-95.804070,41.260689,,,NonCA,5.066,UL NonCA,,,,
2022-08-12 12:20:23.500000,-95.804070,41.260689,,,NonCA,6.881,UL NonCA,3730.08,0,0,
2022-08-12 12:20:23.600000,-95.804070,41.260689,,,NonCA,16.415,UL NonCA,,,,
2022-08-12 12:20:23.700000,-95.804070,41.260689,,,NonCA,19.951,UL NonCA,3730.08,0,0,
2022-08-12 12:20:23.800000,-95.804070,41.260689,,,NonCA,21.547,UL NonCA,3730.08,0,0,25.793
2022-08-12 12:20:23.900000,-95.804070,41.260689,,,NonCA,23.933,UL NonCA,,,,
2022-08-12 12:20:24.000000,-95.804070,41.260689,5G-NR_NSA,15.058,NonCA,19.214,UL NonCA,3730.08,0,0,
2022-08-12 12:20:24.100000,-95.804070,41.260689,,,NonCA,22.664,UL NonCA,,,,
2022-08-12 12:20:24.200000,-95.804070,41.260689,,,NonCA,21.031,UL NonCA,3730.08,0,0,
2022-08-12 12:20:24.300000,-95.804070,41.260689,,,NonCA,23.490,UL NonCA,3730.08,0,0,37.256
2022-08-12 12:20:24.400000,-95.804070,41.260689,,,NonCA,21.311,UL NonCA,,,,
2022-08-12 12:20:24.500000,-95.804070,41.260689,,,NonCA,22.692,UL NonCA,3730.08,0,0,
2022-08-12 12:20:24.600000,-95.804070,41.260689,,,NonCA,22.167,UL NonCA,,,,
2022-08-12 12:20:24.700000,-95.804070,41.260689,,,NonCA,22.711,UL NonCA,3730.08,0,0,
2022-08-12 12:20:24.800000,-95.804070,41.260689,,,NonCA,22.952,UL NonCA,3730.08,0,0,37.781
2022-08-12 12:20:24.900000,-95.804070,41.260689,,,NonCA,22.261,UL NonCA,,,,
2022-08-12 12:20:25.000000,-95.804070,41.260689,5G-NR_NSA,16.183,NonCA,20.491,UL NonCA,,,,
2022-08-12 12:20:25.100000,-95.804070,41.260689,,,NonCA,22.470,UL NonCA,3730.08,0,0,
2022-08-12 12:20:25.200000,-95.804070,41.260689,,,NonCA,26.452,UL NonCA,3730.08,0,0,
2022-08-12 12:20:25.300000,-95.804070,41.260689,,,NonCA,21.691,UL NonCA,,,,34.106
2022-08-12 12:20:25.400000,-95.804070,41.260689,,,NonCA,22.962,UL NonCA,3730.08,0,0,
2022-08-12 12:20:25.500000,-95.804070,41.260689,,,NonCA,22.823,UL NonCA,3730.08,0,0,
2022-08-12 12:20:25.600000,-95.804070,41.260689,,,NonCA,21.456,UL NonCA,,,,
2022-08-12 12:20:25.700000,-95.804070,41.260689,,,NonCA,18.834,UL NonCA,3730.08,0,0,
2022-08-12 12:20:25.800000,-95.804070,41.260689,,,NonCA,20.503,UL NonCA,,,,36.206
2022-08-12 12:20:25.900000,-95.804070,41.260689,,,NonCA,19.941,UL NonCA,3730.08,0,0,
2022-08-12 12:20:26.000000,-95.804070,41.260689,5G-NR_NSA,15.857,NonCA,8.736,UL NonCA,3730.08,0,0,
2022-08-12 12:20:26.100000,-95.804070,41.260689,,,NonCA,19.517,UL NonCA,,,,
2022-08-12 12:20:26.200000,-95.804070,41.260689,,,NonCA,19.545,UL NonCA,3730.08,0,0,
2022-08-12 12:20:26.300000,-95.804070,41.260689,,,NonCA,21.508,UL NonCA,,,,38.305
2022-08-12 12:20:26.400000,-95.804070,41.260689,,,NonCA,21.886,UL NonCA,3730.08,0,0,
2022-08-12 12:20:26.500000,-95.804070,41.260689,,,NonCA,21.414,UL NonCA,3730.08,0,0,
2022-08-12 12:20:26.600000,-95.804070,41.260689,,,NonCA,22.172,UL NonCA,,,,
2022-08-12 12:20:26.700000,-95.804070,41.260689,,,NonCA,24.180,UL NonCA,3730.08,0,0,
2022-08-12 12:20:26.800000,-95.804070,41.260689,,,NonCA,22.065,UL NonCA,3730.08,0,0,35.681
2022-08-12 12:20:26.900000,-95.804070,41.260689,,,NonCA,21.608,UL NonCA,,,,
2022-08-12 12:20:27.000000,-95.804070,41.260689,5G-NR_NSA,14.501,NonCA,20.310,UL NonCA,3730.08,0,0,
2022-08-12 12:20:27.100000,-95.804070,41.260689,,,NonCA,21.784,UL NonCA,,,,
2022-08-12 12:20:27.200000,-95.804070,41.260689,,,NonCA,22.829,UL NonCA,3730.08,0,0,
2022-08-12 12:20:27.300000,-95.804070,41.260689,,,NonCA,19.081,UL NonCA,3730.08,0,0,35.156
2022-08-12 12:20:27.400000,-95.804070,41.260689,,,NonCA,18.465,UL NonCA,,,,
2022-08-12 12:20:27.500000,-95.804070,41.260689,,,NonCA,17.787,UL NonCA,3730.08,0,0,
2022-08-12 12:20:27.600000,-95.804070,41.260689,,,NonCA,20.948,UL NonCA,3730.08,0,0,
2022-08-12 12:20:27.700000,-95.804070,41.260689,,,NonCA,19.450,UL NonCA,,,,
2022-08-12 12:20:27.800000,-95.804070,41.260689,,,NonCA,16.831,UL NonCA,3730.08,0,0,34.107
2022-08-12 12:20:27.900000,-95.804070,41.260689,,,NonCA,17.329,UL NonCA,,,,
2022-08-12 12:20:28.000000,-95.804070,41.260689,5G-NR_NSA,19.652,NonCA,16.610,UL NonCA,3730.08,0,0,
2022-08-12 12:20:28.100000,-95.804070,41.260689,,,NonCA,20.300,UL NonCA,3730.08,0,0,
2022-08-12 12:20:28.200000,-95.804070,41.260689,,,NonCA,19.613,UL NonCA,,,,
2022-08-12 12:20:28.300000,-95.804070,41.260689,,,NonCA,19.491,UL NonCA,3730.08,0,0,34.107
2022-08-12 12:20:28.400000,-95.804070,41.260689,,,NonCA,20.647,UL NonCA,3730.08,0,0,
2022-08-12 12:20:28.500000,-95.804070,41.260689,,,NonCA,18.703,UL NonCA,,,,
2022-08-12 12:20:28.600000,-95.804070,41.260689,,,NonCA,19.460,UL NonCA,3730.08,0,0,
2022-08-12 12:20:28.700000,-95.804070,41.260689,,,NonCA,17.276,UL NonCA,,,,
2022-08-12 12:20:28.800000,-95.804070,41.260689,,,NonCA,21.047,UL NonCA,3730.08,0,0,39.878
2022-08-12 12:20:28.900000,-95.804070,41.260689,,,NonCA,22.256,UL NonCA,3730.08,0,0,
2022-08-12 12:20:29.000000,-95.804070,41.260689,5G-NR_NSA,19.491,NonCA,22.399,UL NonCA,,,,
2022-08-12 12:20:29.100000,-95.804070,41.260689,,,NonCA,20.320,UL NonCA,3730.08,0,0,
2022-08-12 12:20:29.200000,-95.804070,41.260689,,,NonCA,17.286,UL NonCA,3730.08,0,0,
2022-08-12 12:20:29.300000,-95.804070,41.260689,,,NonCA,20.921,UL NonCA,,,,41.452
2022-08-12 12:20:29.400000,-95.804070,41.260689,,,NonCA,19.109,UL NonCA,3730.08,0,0,
2022-08-12 12:20:29.500000,-95.804070,41.260689,,,NonCA,22.338,UL NonCA,,,,
2022-08-12 12:20:29.600000,-95.804070,41.260689,,,NonCA,22.833,UL NonCA,3730.08,0,0,
2022-08-12 12:20:29.700000,-95.804070,41.260689,,,NonCA,21.685,UL NonCA,,,,
2022-08-12 12:20:29.800000,-95.804070,41.260689,,,NonCA,22.989,UL NonCA,3730.08,0,0,37.181
2022-08-12 12:20:29.900000,-95.804070,41.260689,,,NonCA,22.808,UL NonCA,3730.08,0,0,
2022-08-12 12:20:30.000000,-95.804070,41.260689,5G-NR_NSA,20.988,NonCA,22.275,UL NonCA,,,,
2022-08-12 12:20:30.100000,-95.804070,41.260689,,,NonCA,23.014,UL NonCA,3730.08,0,0,
2022-08-12 12:20:30.200000,-95.804070,41.260689,,,NonCA,21.579,UL NonCA,,,,
2022-08-12 12:20:30.300000,-95.804070,41.260689,,,NonCA,22.440,UL NonCA,3730.08,0,0,44.164
2022-08-12 12:20:30.400000,-95.804070,41.260689,,,NonCA,20.949,UL NonCA,,,,
2022-08-12 12:20:30.500000,-95.804070,41.260689,,,NonCA,20.174,UL NonCA,3730.08,0,0,
2022-08-12 12:20:30.600000,-95.804070,41.260689,,,NonCA,23.427,UL NonCA,3730.08,0,0,
2022-08-12 12:20:30.700000,-95.804070,41.260689,,,NonCA,20.668,UL NonCA,,,,
2022-08-12 12:20:30.800000,-95.804070,41.260689,,,NonCA,20.183,UL NonCA,3730.08,0,0,42.397
2022-08-12 12:20:30.900000,-95.804070,41.260689,,,NonCA,20.796,UL NonCA,3730.08,0,0,
2022-08-12 12:20:31.000000,-95.804070,41.260689,5G-NR_NSA,18.318,NonCA,22.289,UL NonCA,,,,
2022-08-12 12:20:31.100000,-95.804070,41.260689,,,NonCA,22.618,UL NonCA,3730.08,0,0,
2022-08-12 12:20:31.200000,-95.804070,41.260689,,,NonCA,26.434,UL NonCA,3730.08,0,0,
2022-08-12 12:20:31.300000,-95.804070,41.260689,,,NonCA,22.429,UL NonCA,,,,38.602
2022-08-12 12:20:31.400000,-95.804070,41.260689,,,NonCA,23.239,UL NonCA,3730.08,0,0,
2022-08-12 12:20:31.500000,-95.804070,41.260689,,,NonCA,22.706,UL NonCA,,,,
2022-08-12 12:20:31.600000,-95.804070,41.260689,,,NonCA,23.017,UL NonCA,3730.08,0,0,
2022-08-12 12:20:31.700000,-95.804070,41.260689,,,NonCA,22.805,UL NonCA,3730.08,0,0,
2022-08-12 12:20:31.800000,-95.804070,41.260689,,,NonCA,22.920,UL NonCA,,,,42.891
2022-08-12 12:20:31.900000,-95.804070,41.260689,,,NonCA,21.351,UL NonCA,3730.08,0,0,
2022-08-12 12:20:32.000000,-95.804070,41.260689,5G-NR_NSA,18.684,NonCA,23.955,UL NonCA,3730.08,0,0,
2022-08-12 12:20:32.100000,-95.804070,41.260689,,,NonCA,10.436,UL NonCA,,,,
2022-08-12 12:20:32.200000,-95.804070,41.260689,,,NonCA,27.441,UL NonCA,3730.08,0,0,
2022-08-12 12:20:32.300000,-95.804070,41.260689,,,NonCA,27.484,UL NonCA,,,,40.746
2022-08-12 12:20:32.400000,-95.804070,41.260689,,,NonCA,26.891,UL NonCA,3730.08,0,0,
2022-08-12 12:20:32.500000,-95.804070,41.260689,,,NonCA,28.120,UL NonCA,3730.08,0,0,
2022-08-12 12:20:32.600000,-95.804070,41.260689,,,NonCA,24.796,UL NonCA,,,,
2022-08-12 12:20:32.700000,-95.804070,41.260689,,,NonCA,23.544,UL NonCA,3730.08,0,0,
2022-08-12 12:20:32.800000,-95.804070,41.260689,,,NonCA,23.301,UL NonCA,3730.08,0,0,43.963
2022-08-12 12:20:32.900000,-95.804070,41.260689,,,NonCA,20.200,UL NonCA,,,,
2022-08-12 12:20:33.000000,-95.804070,41.260689,5G-NR_NSA,19.349,NonCA,23.136,UL NonCA,3730.08,0,0,
2022-08-12 12:20:33.100000,-95.804070,41.260689,,,NonCA,23.301,UL NonCA,,,,
2022-08-12 12:20:33.200000,-95.804070,41.260689,,,NonCA,23.318,UL NonCA,3730.08,0,0,
2022-08-12 12:20:33.300000,-95.804070,41.260689,,,NonCA,22.484,UL NonCA,3730.08,0,0,39.674
2022-08-12 12:20:33.400000,-95.804070,41.260689,,,NonCA,22.460,UL NonCA,,,,
2022-08-12 12:20:33.500000,-95.804070,41.260689,,,NonCA,21.142,UL NonCA,3730.08,0,0,
2022-08-12 12:20:33.600000,-95.804070,41.260689,,,NonCA,22.635,UL NonCA,3730.08,0,0,
2022-08-12 12:20:33.700000,-95.804070,41.260689,,,NonCA,23.793,UL NonCA,,,,
2022-08-12 12:20:33.800000,-95.804070,41.260689,,,NonCA,26.619,UL NonCA,3730.08,0,0,41.735
2022-08-12 12:20:33.900000,-95.804070,41.260689,,,NonCA,23.914,UL NonCA,,,,
2022-08-12 12:20:34.000000,-95.804070,41.260689,5G-NR_NSA,18.928,NonCA,22.254,UL NonCA,3730.08,0,0,
2022-08-12 12:20:34.100000,-95.804070,41.260689,,,NonCA,11.213,UL NonCA,,,,
2022-08-12 12:20:34.200000,-95.804070,41.260689,,,NonCA,25.011,UL NonCA,3730.08,0,0,
2022-08-12 12:20:34.300000,-95.804070,41.260689,,,NonCA,26.035,UL NonCA,3730.08,0,0,38.679
2022-08-12 12:20:34.400000,-95.804070,41.260689,,,NonCA,24.725,UL NonCA,,,,
2022-08-12 12:20:34.500000,-95.804070,41.260689,,,NonCA,25.626,UL NonCA,3730.08,0,0,
2022-08-12 12:20:34.600000,-95.804070,41.260689,,,NonCA,25.329,UL NonCA,,,,
2022-08-12 12:20:34.700000,-95.804070,41.260689,,,NonCA,25.226,UL NonCA,3730.08,0,0,
2022-08-12 12:20:34.800000,-95.804070,41.260689,,,NonCA,25.318,UL NonCA,3730.08,0,0,43.963
2022-08-12 12:20:34.900000,-95.804070,41.260689,,,NonCA,26.365,UL NonCA,,,,
2022-08-12 12:20:35.000000,-95.804070,41.260689,5G-NR_NSA,20.031,NonCA,26.519,UL NonCA,3730.08,0,0,
2022-08-12 12:20:35.100000,-95.804070,41.260689,,,NonCA,23.549,UL NonCA,3730.08,0,0,
2022-08-12 12:20:35.200000,-95.804070,41.260689,,,NonCA,24.172,UL NonCA,,,,
2022-08-12 12:20:35.300000,-95.804070,41.260689,,,NonCA,26.004,UL NonCA,3730.08,0,0,40.747
2022-08-12 12:20:35.400000,-95.804070,41.260689,,,NonCA,21.943,UL NonCA,,,,
2022-08-12 12:20:35.500000,-95.804070,41.260689,,,NonCA,26.531,UL NonCA,3730.08,0,0,
2022-08-12 12:20:35.600000,-95.804070,41.260689,,,NonCA,25.831,UL NonCA,3730.08,0,0,
2022-08-12 12:20:35.700000,-95.804070,41.260689,,,NonCA,22.299,UL NonCA,,,,
2022-08-12 12:20:35.800000,-95.804070,41.260689,,,NonCA,22.294,UL NonCA,3730.08,0,0,43.963
2022-08-12 12:20:35.900000,-95.804070,41.260689,,,NonCA,22.909,UL NonCA,3730.08,0,0,
2022-08-12 12:20:36.000000,-95.804070,41.260689,5G-NR_NSA,17.986,NonCA,21.820,UL NonCA,,,,
2022-08-12 12:20:36.100000,-95.804070,41.260689,,,NonCA,23.506,UL NonCA,3730.08,0,0,
2022-08-12 12:20:36.200000,-95.804070,41.260689,,,NonCA,16.941,UL NonCA,,,,
2022-08-12 12:20:36.300000,-95.804070,41.260689,,,NonCA,21.938,UL NonCA,3730.08,0,0,39.674
2022-08-12 12:20:36.400000,-95.804070,41.260689,,,NonCA,21.466,UL NonCA,3730.08,0,0,
2022-08-12 12:20:36.500000,-95.804070,41.260689,,,NonCA,23.096,UL NonCA,,,,
2022-08-12 12:20:36.600000,-95.804070,41.260689,,,NonCA,22.522,UL NonCA,3730.08,0,0,
2022-08-12 12:20:36.700000,-95.804070,41.260689,,,NonCA,23.054,UL NonCA,3730.08,0,0,
2022-08-12 12:20:36.800000,-95.804070,41.260689,,,NonCA,20.815,UL NonCA,,,,38.601
2022-08-12 12:20:36.900000,-95.804070,41.260689,,,NonCA,23.544,UL NonCA,3730.08,0,0,
2022-08-12 12:20:37.000000,-95.804070,41.260689,5G-NR_NSA,19.808,NonCA,26.093,UL NonCA,,,,
2022-08-12 12:20:37.100000,-95.804070,41.260689,,,NonCA,24.272,UL NonCA,3730.08,0,0,
2022-08-12 12:20:37.200000,-95.804070,41.260689,,,NonCA,25.758,UL NonCA,3730.08,0,0,
2022-08-12 12:20:37.300000,-95.804070,41.260689,,,NonCA,24.162,UL NonCA,,,,40.747
2022-08-12 12:20:37.400000,-95.804070,41.260689,,,NonCA,26.537,UL NonCA,3730.08,0,0,
2022-08-12 12:20:37.500000,-95.804070,41.260689,,,NonCA,24.978,UL NonCA,3730.08,0,0,
2022-08-12 12:20:37.600000,-95.804070,41.260689,,,NonCA,22.175,UL NonCA,,,,
2022-08-12 12:20:37.700000,-95.804070,41.260689,,,NonCA,25.781,UL NonCA,3730.08,0,0,
2022-08-12 12:20:37.800000,-95.804070,41.260689,,,NonCA,25.508,UL NonCA,,,,45.035
2022-08-12 12:20:37.900000,-95.804070,41.260689,,,NonCA,25.266,UL NonCA,3730.08,0,0,
2022-08-12 12:20:38.000000,-95.804070,41.260689,5G-NR_NSA,18.682,NonCA,23.006,UL NonCA,3730.08,0,0,
2022-08-12 12:20:38.100000,-95.804070,41.260689,,,NonCA,25.984,UL NonCA,,,,
2022-08-12 12:20:38.200000,-95.804070,41.260689,,,NonCA,26.169,UL NonCA,3730.08,0,0,
2022-08-12 12:20:38.300000,-95.804070,41.260689,,,NonCA,25.840,UL NonCA,3730.08,0,0,42.891
2022-08-12 12:20:38.400000,-95.804070,41.260689,,,NonCA,24.373,UL NonCA,,,,
2022-08-12 12:20:38.500000,-95.804070,41.260689,,,NonCA,25.493,UL NonCA,3730.08,0,0,
2022-08-12 12:20:38.600000,-95.804070,41.260689,,,NonCA,25.407,UL NonCA,,,,
2022-08-12 12:20:38.700000,-95.804070,41.260689,,,NonCA,25.629,UL NonCA,3730.08,0,0,
2022-08-12 12:20:38.800000,-95.804070,41.260689,,,NonCA,27.436,UL NonCA,3730.08,0,0,42.891
2022-08-12 12:20:38.900000,-95.804070,41.260689,,,NonCA,25.560,UL NonCA,,,,
2022-08-12 12:20:39.000000,-95.804070,41.260689,5G-NR_NSA,16.839,NonCA,21.264,UL NonCA,3730.08,0,0,
2022-08-12 12:20:39.100000,-95.804070,41.260689,,,NonCA,22.785,UL NonCA,3730.08,0,0,
2022-08-12 12:20:39.200000,-95.804070,41.260689,,,NonCA,26.896,UL NonCA,,,,
